                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.60512,                0.37486,                0.99156,                0.98365,                0.98414,                0.99226,                0.87419,                 0.5952,                0.31262,                0.94018,             0.00036307,             0.00036307,             0.00036307
                     37,                0.58674,                0.37052,                0.97065,                0.99197,                0.98269,                0.99327,                0.87508,                0.58604,                0.31036,                 0.9307,             0.00034108,             0.00034108,             0.00034108
                     38,                0.59041,                0.37018,                0.97838,                0.98306,                0.98449,                0.99262,                0.87478,                0.58653,                0.30725,                0.93295,             0.00031908,             0.00031908,             0.00031908
                     39,                0.59227,                0.36538,                0.97902,                0.99257,                0.98121,                0.99209,                0.87597,                0.58995,                0.30244,                0.93412,             0.00029708,             0.00029708,             0.00029708
                     40,                0.58604,                0.36058,                0.97077,                0.98746,                0.98064,                0.99263,                0.88386,                0.57445,                0.29796,                0.93031,             0.00027508,             0.00027508,             0.00027508
                     41,                0.51424,                0.29376,                0.92564,                 0.9753,                0.98551,                0.99201,                0.87899,                0.58414,                0.31033,                 0.9328,             0.00025309,             0.00025309,             0.00025309
                     42,                0.50008,                0.28625,                0.91636,                0.99703,                0.98064,                0.99313,                0.88231,                0.58967,                0.29297,                0.93871,             0.00023109,             0.00023109,             0.00023109
                     43,                0.49528,                0.28103,                0.91634,                0.98824,                0.98462,                0.99254,                0.87498,                0.59398,                0.30188,                0.94227,             0.00020909,             0.00020909,             0.00020909
                     44,                0.48231,                0.27764,                0.90954,                0.98821,                 0.9853,                0.99322,                0.88635,                0.56554,                0.28791,                0.93185,             0.00018709,             0.00018709,             0.00018709
                     45,                0.47595,                0.26711,                0.90792,                0.98634,                0.98692,                0.99299,                 0.8867,                0.57773,                0.29103,                0.93711,             0.00016509,             0.00016509,             0.00016509
                     46,                0.46276,                0.26177,                0.89776,                0.98897,                0.98849,                 0.9933,                0.89165,                0.56715,                0.27738,                0.92996,              0.0001431,              0.0001431,              0.0001431
                     47,                0.46287,                0.26005,                0.89566,                0.98823,                0.98551,                0.99277,                0.89143,                0.57151,                0.28215,                0.93315,              0.0001211,              0.0001211,              0.0001211
                     48,                0.44435,                0.24953,                0.89282,                0.99169,                0.98592,                0.99322,                0.88739,                0.57424,                0.27626,                0.92798,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                 0.4404,                0.24773,                 0.8894,                 0.9902,                0.98491,                0.99325,                 0.8944,                0.57129,                0.27242,                0.93196,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.43865,                0.24833,                0.89099,                0.99039,                0.98506,                0.99327,                0.89346,                0.56901,                0.26963,                0.93492,             5.5106e-05,             5.5106e-05,             5.5106e-05
